2020-04-03T08:03:57.688Z error: connect ECONNREFUSED 127.0.0.1:27017
2020-04-03T08:32:39.744Z error: Unexpected string in JSON at position 26
2020-04-03T08:35:23.886Z error: Unexpected string in JSON at position 59
2020-04-03T08:35:44.902Z error: Unexpected token 
 in JSON at position 90
2020-04-03T08:44:37.618Z error: Genre is not defined
2020-04-03T08:45:10.026Z error: Genre is not defined
2020-04-03T08:46:08.418Z error: Genre is not defined
2020-04-04T12:36:52.636Z info: Connect to DB....
2020-04-04T12:38:52.540Z info: Connected to DB...
2020-04-04T12:41:12.414Z info: Connected to DB...
2020-04-04T12:42:47.922Z info: Connected to DB...
2020-04-04T12:42:55.858Z info: Connected to DB...
2020-04-04T12:42:58.025Z info: Connected to DB...
2020-04-04T12:43:27.684Z info: Connected to DB...
2020-04-04T12:43:30.242Z info: Connected to DB...
2020-04-04T12:43:34.358Z info: Connected to DB...
2020-04-04T12:43:37.644Z info: Connected to DB...
2020-04-04T12:43:40.290Z info: Connected to DB...
2020-04-04T12:43:44.726Z info: Connected to DB...
2020-04-04T12:43:51.369Z info: Connected to DB...
2020-04-04T12:43:58.867Z info: Connected to DB...
2020-04-04T12:44:02.272Z info: Connected to DB...
2020-04-04T12:44:05.692Z info: Connected to DB...
2020-04-04T12:44:07.837Z info: Connected to DB...
2020-04-04T12:44:16.355Z info: Connected to DB...
2020-04-04T12:44:17.899Z info: Connected to DB...
2020-04-04T12:44:19.693Z info: Connected to DB...
2020-04-04T12:44:24.179Z info: Connected to DB...
2020-04-04T12:44:28.794Z info: Connected to DB...
2020-04-04T12:44:33.740Z info: Connected to DB...
2020-04-04T12:44:36.282Z info: Connected to DB...
2020-04-04T12:44:42.228Z info: Connected to DB...
2020-04-04T12:44:44.585Z info: Connected to DB...
2020-04-04T12:44:50.306Z info: Connected to DB...
2020-04-04T12:45:03.010Z info: Connected to DB...
2020-04-04T12:45:18.578Z info: Connected to DB...
2020-04-04T12:45:30.428Z info: Connected to DB...
2020-04-04T12:46:01.438Z info: Connected to DB...
2020-04-04T12:46:03.388Z info: Connected to DB...
2020-04-04T12:46:06.014Z info: Connected to DB...
2020-04-04T12:46:12.044Z info: Connected to DB...
2020-04-04T12:46:21.459Z info: Connected to DB...
2020-04-04T12:47:01.292Z info: Connected to DB...
2020-04-04T12:47:20.554Z info: Connected to DB...
2020-04-04T12:47:23.468Z info: Connected to DB...
2020-04-04T12:47:57.973Z info: Connected to DB...
2020-04-04T12:47:59.680Z info: Connected to DB...
2020-04-04T12:48:07.971Z info: Connected to DB...
2020-04-04T12:48:44.424Z info: Connected to DB...
2020-04-04T12:49:06.192Z info: Connected to DB...
2020-04-04T12:49:09.070Z info: Connected to DB...
2020-04-04T12:49:10.792Z info: Connected to DB...
2020-04-04T12:49:14.915Z info: Connected to DB...
2020-04-04T12:49:21.761Z info: Connected to DB...
2020-04-04T12:49:25.695Z info: Connected to DB...
2020-04-04T12:51:09.072Z info: Connected to DB...
2020-04-04T12:54:37.582Z info: Connected to DB...
2020-04-04T12:55:18.764Z info: Connected to DB...
2020-04-04T12:55:51.544Z info: Connected to DB...
2020-04-04T12:57:50.221Z info: Connected to DB...
2020-04-04T12:58:48.176Z info: Connected to DB...
2020-04-04T13:11:26.113Z info: Connected to DB...
2020-04-05T06:45:20.199Z info: Connected to DB...
2020-04-05T14:51:55.229Z info: Connected to DB...
2020-04-06T04:26:13.908Z info: Connected to DB...
2020-04-06T04:42:13.871Z info: Connected to DB...
2020-04-06T04:45:37.604Z info: Connected to DB...
2020-04-06T05:20:41.898Z info: Connected to DB...
2020-04-06T05:27:28.832Z info: Connected to DB...
2020-04-06T05:32:16.384Z info: Connected to DB...
2020-04-06T08:31:25.845Z info: Connected to DB...
2020-04-06T11:24:01.106Z info: Connected to DB...
2020-04-06T11:24:35.787Z info: Connected to DB...
2020-04-06T11:35:25.923Z info: Connected to DB...
2020-04-06T11:59:50.365Z info: Connected to DB...
2020-04-06T16:17:47.994Z info: Connected to DB...
